,work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,company_location,company_size,currency_in_myr
0,2023,EN,FT,Applied Scientist,213660,USD,213660,US,L,1006338
1,2023,EN,FT,Applied Scientist,130760,USD,130760,US,L,615879
2,2023,EN,FT,Data Quality Analyst,100000,USD,100000,NG,L,471000
3,2023,EN,FT,Compliance Data Analyst,30000,USD,30000,NG,L,141300
4,2023,EN,FT,Applied Scientist,204620,USD,204620,US,L,963760
5,2023,EN,FT,Applied Scientist,110680,USD,110680,US,L,521302
6,2023,EN,FT,Machine Learning Engineer,163196,USD,163196,US,M,768653
7,2023,EN,FT,Machine Learning Engineer,145885,USD,145885,US,M,687118
8,2023,EN,FT,Research Scientist,220000,USD,220000,US,L,1036200
9,2023,EN,FT,Data Engineer,85000,USD,85000,US,M,400350
10,2023,EN,FT,Data Engineer,65000,USD,65000,US,M,306150
11,2023,EN,FT,Data Analyst,75000,USD,75000,US,M,353250
12,2023,EN,FT,Data Analyst,70000,USD,70000,US,M,329700
13,2023,EN,FT,Data Analyst,85000,USD,85000,US,M,400350
14,2023,EN,FT,Data Analyst,75000,USD,75000,US,M,353250
15,2023,EN,FT,Data Engineer,1400000,INR,17022,IN,L,80173
16,2023,EN,FT,Data Engineer,85000,USD,85000,US,M,400350
17,2023,EN,FT,Data Engineer,65000,USD,65000,US,M,306150
18,2023,EN,FT,Data Analyst,55000,CAD,40663,CA,L,191522
19,2023,EN,FT,Data Scientist,70000,CAD,51753,CA,L,243756
20,2023,EN,FT,Data Scientist,130001,USD,130001,US,M,612304
21,2023,EN,FT,Data Scientist,71907,USD,71907,US,M,338681
22,2023,EN,FT,Data Engineer,85000,USD,85000,US,M,400350
23,2023,EN,FT,Data Engineer,65000,USD,65000,US,M,306150
24,2023,EN,FT,Applied Scientist,213660,USD,213660,US,L,1006338
25,2023,EN,FT,Applied Scientist,130760,USD,130760,US,L,615879
26,2023,EN,FT,BI Data Engineer,60000,USD,60000,US,M,282600
27,2023,EN,FT,Data Engineer,85000,USD,85000,US,M,400350
28,2023,EN,FT,Data Engineer,65000,USD,65000,US,M,306150
29,2023,EN,FT,Research Engineer,155000,USD,155000,US,M,730050
30,2023,EN,FT,Research Engineer,125000,USD,125000,US,M,588750
31,2023,EN,FT,Research Engineer,155000,USD,155000,US,M,730050
32,2023,EN,FT,Research Engineer,125000,USD,125000,US,M,588750
33,2023,EN,FT,Data Analyst,64200,USD,64200,US,M,302382
34,2023,EN,FT,Data Analyst,56100,USD,56100,US,M,264231
35,2023,EN,FT,Data Engineer,92700,USD,92700,US,M,436617
36,2023,EN,FT,Data Engineer,61800,USD,61800,US,M,291078
37,2023,EN,FT,Business Data Analyst,20000,EUR,21461,ES,M,101081
38,2023,EN,FT,Research Engineer,160000,USD,160000,US,M,753600
39,2023,EN,FT,Research Engineer,120000,USD,120000,US,M,565200
40,2023,EN,FT,Autonomous Vehicle Technician,7000,USD,7000,GH,S,32970
41,2023,EN,FT,Applied Machine Learning Scientist,40000,EUR,42923,DE,M,202167
42,2023,EN,FT,Data Scientist,190000,USD,190000,US,M,894900
43,2023,EN,FT,Data Scientist,120000,USD,120000,US,M,565200
44,2023,EN,FT,Data Scientist,112000,CHF,121093,CH,L,570348
45,2023,EN,FT,Data Analyst,85000,USD,85000,US,M,400350
46,2023,EN,FT,Data Analyst,75000,USD,75000,US,M,353250
47,2023,EN,FT,Data Engineer,92700,USD,92700,US,M,436617
48,2023,EN,FT,Data Engineer,61800,USD,61800,US,M,291078
49,2023,EN,FT,Data Engineer,62000,USD,62000,US,M,292020
50,2023,EN,FT,Data Engineer,58000,USD,58000,US,M,273180
51,2023,EN,FT,Data Engineer,125000,USD,125000,US,M,588750
52,2023,EN,FT,Data Engineer,90000,USD,90000,US,M,423900
53,2023,EN,FT,Data Analyst,95000,USD,95000,US,M,447450
54,2023,EN,FT,Data Analyst,70000,USD,70000,US,M,329700
55,2023,EN,FT,Data Engineer,115100,USD,115100,US,M,542121
56,2023,EN,FT,Data Engineer,73900,USD,73900,US,M,348069
57,2023,EN,FT,AI Programmer,70000,USD,70000,AU,L,329700
58,2023,EN,FT,AI Developer,80000,USD,80000,SE,M,376800
59,2023,EN,FT,Research Scientist,150000,USD,150000,US,M,706500
60,2023,EN,FT,Research Scientist,100000,USD,100000,US,M,471000
61,2023,EN,FT,Data Analyst,75000,USD,75000,US,M,353250
62,2023,EN,FT,Data Analyst,60000,USD,60000,US,M,282600
